condition,label,seed,initial_frequency,selected_frequency,search_epoch_equivalents,selected_path_epochs,total_duration_seconds,run_dir,dataset,architecture,activation,device,runtime,parameter_count,epochs_completed,global_step,best_validation_accuracy,best_validation_epoch,initial_validation_accuracy,final_validation_accuracy,test_model_selection,test_loss,test_accuracy,final_test_loss,final_test_accuracy,duration_seconds,final_frequency_min,final_frequency_mean,final_frequency_max,warmup_frequency_mean,selected_generation
gelu,GELU,42,,,0,40,250.8809106999979,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\gelu\seed-42_gelu,mini_speech_commands,raw_audio_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191912,40,4080,0.9407313997477932,29,,0.9382093316519546,best_validation,0.28786617611006743,0.9307359307359307,0.2809708164453851,0.935064935064935,249.3221077999915,,,,,
periodic_gelu,Periodic GELU,42,,,0,40,445.1061878000037,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\periodic_gelu\seed-42_periodic_gelu,mini_speech_commands,raw_audio_cnn,gelu_sine_triangle,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191927,40,4080,0.9419924337957125,31,,0.935687263556116,best_validation,0.2817584861817126,0.9336219336219336,0.27981655500710956,0.9235209235209235,445.0155012000032,,,,,
direct_peuaf,Direct PEUAF,42,0.5,0.5,0,40,477.239902500005,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\direct_peuaf\seed-42_direct_peuaf,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.7023959646910467,33,,0.6809583858764187,best_validation,0.9313600352316191,0.6955266955266955,0.931082888599082,0.7171717171717171,477.2065542999917,0.43157705664634705,0.5448808372020721,0.6400883793830872,,
evolved_peuaf,Evolved PEUAF,42,0.5,0.19267083406448365,32,40,841.3366557000118,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\evolved_peuaf\seed-42_evolved_peuaf_20260615_103134\selected_full_training,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.89281210592686,36,,0.8865069356872636,best_validation,0.38147757050794956,0.8932178932178932,0.38840993047620653,0.8932178932178932,458.4804279999953,0.0,0.1014607235789299,0.4245506525039673,0.12287774365395307,2
gelu,GELU,43,,,0,40,245.00939820001076,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\gelu\seed-43_gelu,mini_speech_commands,raw_audio_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191912,40,4080,0.9432534678436317,27,,0.9407313997477932,best_validation,0.2671997896456099,0.9365079365079365,0.2514696497937818,0.948051948051948,244.97691729999497,,,,,
periodic_gelu,Periodic GELU,43,,,0,40,440.67865940000047,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\periodic_gelu\seed-43_periodic_gelu,mini_speech_commands,raw_audio_cnn,gelu_sine_triangle,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191927,40,4080,0.9445145018915511,28,,0.9445145018915511,best_validation,0.2753677730049406,0.9393939393939394,0.2533934379015306,0.9451659451659452,440.64591140000266,,,,,
direct_peuaf,Direct PEUAF,43,0.5,0.5,0,40,478.06565129999944,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\direct_peuaf\seed-43_direct_peuaf,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.7023959646910467,36,,0.6960907944514502,best_validation,0.9493617215885917,0.7070707070707071,0.9393993620404606,0.7157287157287158,478.0328373999946,0.426104873418808,0.5390961229801178,0.6229771971702576,,
evolved_peuaf,Evolved PEUAF,43,0.5,0.22999999999999998,32,40,858.908356800006,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\evolved_peuaf\seed-43_evolved_peuaf_20260615_110459\selected_full_training,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.8575031525851198,40,,0.8575031525851198,best_validation,0.5001036757428581,0.8542568542568543,0.5001036757428581,0.8542568542568543,471.9340916999936,0.0,0.24447028040885926,0.43706947565078735,0.22714303135871888,1
gelu,GELU,44,,,0,40,244.6016604000033,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\gelu\seed-44_gelu,mini_speech_commands,raw_audio_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191912,40,4080,0.9344262295081968,36,,0.9331651954602774,best_validation,0.26582435008896377,0.9437229437229437,0.2631633106893275,0.9408369408369408,244.56916709999496,,,,,
periodic_gelu,Periodic GELU,44,,,0,40,439.30856640001,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\periodic_gelu\seed-44_periodic_gelu,mini_speech_commands,raw_audio_cnn,gelu_sine_triangle,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191927,40,4080,0.9419924337957125,35,,0.935687263556116,best_validation,0.27263119086773707,0.9393939393939394,0.2568635949367741,0.9437229437229437,439.2755762000015,,,,,
direct_peuaf,Direct PEUAF,44,0.5,0.5,0,40,475.9831173999992,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\direct_peuaf\seed-44_direct_peuaf,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.7566204287515763,37,,0.7503152585119798,best_validation,0.823332170215348,0.7575757575757576,0.8179232407613922,0.7546897546897547,475.95080069999676,0.4942605197429657,0.5613897621631623,0.6114225387573242,,
evolved_peuaf,Evolved PEUAF,44,0.5,0.23029305636882783,32,40,848.7672860000021,runs\benchmarks\publication\mini_speech_commands_raw_40epoch_20260615_101200\runs\evolved_peuaf\seed-44_evolved_peuaf_20260615_113838\selected_full_training,mini_speech_commands,raw_audio_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",191917,40,4080,0.8852459016393442,37,,0.8852459016393442,best_validation,0.4370137398033087,0.8816738816738817,0.42914681869839866,0.8888888888888888,461.95054900000105,0.0,0.20068360827863216,0.4333154857158661,0.2268402546644211,2
